file,title,author,abstract,keywords
Dataset\Amit Saxena\A Review of Clustering Techniques.pdf,A Review of Clustering Techniques and Developments,Amit Saxena,"> This paper presents a comprehensive study on clustering: existing methods and developments made at various times. The paper discusses clustering as an unsupervised learning where objects are grouped based on similarity, provides details about different methods for clustering (hierarchical, partitional, grid, density-based, model-based), and the approaches used in these methods, their respective states of art, and applicability. The paper also presents measures of similarity and evaluation criteria central to clustering, and highlights applications in fields like image segmentation, object and character recognition, and data mining.","> Unsupervised learning, Clustering, Data mining, Pattern recognition, Similarity measures"
Dataset\Amit Saxena\A Review of Clustering Techniques.pdf,A Review of Clustering Techniques and Developments,Mukesh Prasad,"> This paper presents a comprehensive study on clustering: existing methods and developments made at various times. The paper discusses clustering as an unsupervised learning where objects are grouped based on similarity, provides details about different methods for clustering (hierarchical, partitional, grid, density-based, model-based), and the approaches used in these methods, their respective states of art, and applicability. The paper also presents measures of similarity and evaluation criteria central to clustering, and highlights applications in fields like image segmentation, object and character recognition, and data mining.","> Unsupervised learning, Clustering, Data mining, Pattern recognition, Similarity measures"
Dataset\Amit Saxena\A Review of Clustering Techniques.pdf,A Review of Clustering Techniques and Developments,Akshansh Gupta,"> This paper presents a comprehensive study on clustering: existing methods and developments made at various times. The paper discusses clustering as an unsupervised learning where objects are grouped based on similarity, provides details about different methods for clustering (hierarchical, partitional, grid, density-based, model-based), and the approaches used in these methods, their respective states of art, and applicability. The paper also presents measures of similarity and evaluation criteria central to clustering, and highlights applications in fields like image segmentation, object and character recognition, and data mining.","> Unsupervised learning, Clustering, Data mining, Pattern recognition, Similarity measures"
Dataset\Amit Saxena\A Review of Clustering Techniques.pdf,A Review of Clustering Techniques and Developments,Neha Bharill,"> This paper presents a comprehensive study on clustering: existing methods and developments made at various times. The paper discusses clustering as an unsupervised learning where objects are grouped based on similarity, provides details about different methods for clustering (hierarchical, partitional, grid, density-based, model-based), and the approaches used in these methods, their respective states of art, and applicability. The paper also presents measures of similarity and evaluation criteria central to clustering, and highlights applications in fields like image segmentation, object and character recognition, and data mining.","> Unsupervised learning, Clustering, Data mining, Pattern recognition, Similarity measures"
Dataset\Amit Saxena\A Review of Clustering Techniques.pdf,A Review of Clustering Techniques and Developments,Om Prakash Patel,"> This paper presents a comprehensive study on clustering: existing methods and developments made at various times. The paper discusses clustering as an unsupervised learning where objects are grouped based on similarity, provides details about different methods for clustering (hierarchical, partitional, grid, density-based, model-based), and the approaches used in these methods, their respective states of art, and applicability. The paper also presents measures of similarity and evaluation criteria central to clustering, and highlights applications in fields like image segmentation, object and character recognition, and data mining.","> Unsupervised learning, Clustering, Data mining, Pattern recognition, Similarity measures"
Dataset\Amit Saxena\A Review of Clustering Techniques.pdf,A Review of Clustering Techniques and Developments,Aruna Tiwari,"> This paper presents a comprehensive study on clustering: existing methods and developments made at various times. The paper discusses clustering as an unsupervised learning where objects are grouped based on similarity, provides details about different methods for clustering (hierarchical, partitional, grid, density-based, model-based), and the approaches used in these methods, their respective states of art, and applicability. The paper also presents measures of similarity and evaluation criteria central to clustering, and highlights applications in fields like image segmentation, object and character recognition, and data mining.","> Unsupervised learning, Clustering, Data mining, Pattern recognition, Similarity measures"
Dataset\Amit Saxena\A Review of Clustering Techniques.pdf,A Review of Clustering Techniques and Developments,Meng Joo Er,"> This paper presents a comprehensive study on clustering: existing methods and developments made at various times. The paper discusses clustering as an unsupervised learning where objects are grouped based on similarity, provides details about different methods for clustering (hierarchical, partitional, grid, density-based, model-based), and the approaches used in these methods, their respective states of art, and applicability. The paper also presents measures of similarity and evaluation criteria central to clustering, and highlights applications in fields like image segmentation, object and character recognition, and data mining.","> Unsupervised learning, Clustering, Data mining, Pattern recognition, Similarity measures"
Dataset\Amit Saxena\A Review of Clustering Techniques.pdf,A Review of Clustering Techniques and Developments,Weiping Ding,"> This paper presents a comprehensive study on clustering: existing methods and developments made at various times. The paper discusses clustering as an unsupervised learning where objects are grouped based on similarity, provides details about different methods for clustering (hierarchical, partitional, grid, density-based, model-based), and the approaches used in these methods, their respective states of art, and applicability. The paper also presents measures of similarity and evaluation criteria central to clustering, and highlights applications in fields like image segmentation, object and character recognition, and data mining.","> Unsupervised learning, Clustering, Data mining, Pattern recognition, Similarity measures"
Dataset\Amit Saxena\A Review of Clustering Techniques.pdf,A Review of Clustering Techniques and Developments,Chin-Teng Lin,"> This paper presents a comprehensive study on clustering: existing methods and developments made at various times. The paper discusses clustering as an unsupervised learning where objects are grouped based on similarity, provides details about different methods for clustering (hierarchical, partitional, grid, density-based, model-based), and the approaches used in these methods, their respective states of art, and applicability. The paper also presents measures of similarity and evaluation criteria central to clustering, and highlights applications in fields like image segmentation, object and character recognition, and data mining.","> Unsupervised learning, Clustering, Data mining, Pattern recognition, Similarity measures"
Dataset\Amit Saxena\Cardioprotection from ischemia.pdf,Cardioprotection from ischemia and reperfusion injury by Withania somnifera,Suresh Kumar Gupta,"The text presents a study investigating the cardioprotective effects of Withania somnifera (Ws) compared to Vitamin E in rats subjected to myocardial infarction due to ischemia and reperfusion. The rats were administered Ws or Vit E for a month, followed by occlusion of the LAD coronary artery and subsequent reperfusion. Hemodynamic parameters, myocardial enzymes, and antioxidant levels were measured before and after the procedure. Results indicate that Ws significantly reduced myocardial injury, augmented antioxidants, and emphasized its beneficial action as a cardioprotective agent.","Myocardial infarction, Withania somnifera, Vitamin E, ischemia, reperfusion, antioxidants"
